,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,ccg
0,20.2388,20.6635,21.0618,21.5045,22.0027,22.532,23.0877,23.6772,24.2807,24.8923,25.5496,26.2386,26.9134,27.6068,28.309,28.9987,29.6683,30.3201,30.9727,31.5959,32.1724,32.7359,33.3015,33.8719,34.4506,35.0449,A3A8R
1,27.1862,27.8837,28.5918,29.3262,30.0403,30.8135,31.5979,32.4221,33.2414,34.1069,34.9933,35.9035,36.8284,37.7192,38.5919,39.4565,40.2668,41.064,41.8279,42.5907,43.3212,44.0126,44.675,45.3063,45.9144,46.5156,W2U3Z
2,19.5244,19.8915,20.2332,20.6187,21.0258,21.4313,21.8943,22.384,22.9167,23.492,24.1171,24.7695,25.389,26.0382,26.6371,27.2127,27.756,28.2659,28.7972,29.3256,29.8007,30.2389,30.6803,31.0964,31.5105,31.9304,36L
3,21.0098,21.3213,21.6398,22.023,22.4571,22.9487,23.4649,24.0559,24.6942,25.3515,26.05,26.7899,27.513,28.2075,28.8975,29.5227,30.1324,30.709,31.2815,31.8039,32.2985,32.7302,33.1674,33.6041,34.0586,34.5384,72Q
4,17.9621,18.3575,18.7495,19.1965,19.6389,20.1272,20.6242,21.169,21.7385,22.3233,22.9608,23.6133,24.2781,24.9702,25.6153,26.2617,26.8845,27.4761,28.0851,28.6468,29.1815,29.6886,30.1636,30.6436,31.1056,31.5832,93C
5,4.7483,4.7819,4.8079,4.8363,4.8774,4.9214,4.9664,5.0204,5.0927,5.1616,5.2371,5.3099,5.3896,5.4693,5.5477,5.6159,5.68,5.7385,5.7967,5.8412,5.8834,5.908,5.9416,5.9709,6.0003,6.0341,99E
6,14.5914,14.9318,15.2281,15.5483,15.8741,16.2159,16.5822,16.9412,17.3145,17.7179,18.1322,18.5556,18.9563,19.3497,19.7254,20.0739,20.4034,20.6939,20.9939,21.2785,21.5286,21.7407,21.9575,22.1476,22.3401,22.5328,M1J4Y
7,17.6896,17.8589,17.9863,18.1083,18.2843,18.4924,18.7084,18.9429,19.2096,19.55,19.873,20.1939,20.5247,20.845,21.1348,21.4345,21.7299,22.0036,22.2756,22.5132,22.6949,22.8263,22.9398,23.0548,23.1453,23.2368,15E
8,16.0256,16.3519,16.6286,16.9029,17.186,17.5163,17.8291,18.1576,18.5208,18.8979,19.3022,19.7272,20.1437,20.5609,20.9542,21.3211,21.6761,21.9918,22.331,22.6395,22.8964,23.0993,23.2801,23.436,23.5804,23.7286,06H
9,20.7174,21.0897,21.3654,21.7011,22.0388,22.4207,22.8181,23.2139,23.6523,24.1338,24.6452,25.1713,25.7103,26.2428,26.7648,27.236,27.6988,28.0816,28.4985,28.8408,29.0812,29.2383,29.3476,29.4107,29.4178,29.435,15M
10,7.6238,7.7356,7.8306,7.9267,8.0322,8.1577,8.2888,8.4254,8.5758,8.7458,8.912,9.0954,9.2687,9.457,9.6312,9.8005,9.968,10.1074,10.2541,10.3821,10.4877,10.5771,10.6626,10.7305,10.7943,10.859,06T
11,9.7316,9.8649,9.9791,10.115,10.2711,10.437,10.6204,10.8045,11.0035,11.2304,11.4654,11.7053,11.9579,12.1985,12.419,12.6184,12.8081,12.9681,13.1477,13.3034,13.4372,13.554,13.6593,13.754,13.846,13.9385,06K
12,16.8212,17.0766,17.2759,17.4803,17.7249,17.972,18.2518,18.5265,18.8625,19.2022,19.5635,19.9232,20.2773,20.6376,20.9665,21.2845,21.5913,21.8604,22.148,22.4014,22.6082,22.7786,22.9033,23.0158,23.0968,23.1978,B2M3M
13,25.1061,25.5577,25.9189,26.3202,26.7496,27.1935,27.6599,28.1428,28.6861,29.2514,29.8362,30.463,31.0942,31.7069,32.2744,32.82,33.3546,33.8227,34.3009,34.7101,35.0394,35.2997,35.4941,35.6433,35.7514,35.8856,26A
14,12.9862,13.2731,13.5218,13.7745,14.0464,14.3342,14.6335,14.9506,15.2939,15.6655,16.0516,16.4497,16.8566,17.239,17.6136,17.9594,18.3031,18.5815,18.9016,19.1812,19.4221,19.6345,19.8056,19.9498,20.0707,20.1991,78H
15,8.0419,8.1969,8.3235,8.4731,8.6046,8.7539,8.8888,9.0262,9.1855,9.3622,9.5328,9.7132,9.8924,10.0769,10.2649,10.431,10.581,10.7187,10.8672,10.9942,11.0919,11.1784,11.2589,11.3202,11.3744,11.4338,06Q
16,18.2918,18.6207,18.8851,19.1563,19.4533,19.7926,20.1574,20.5571,20.9604,21.3936,21.8617,22.3186,22.7853,23.2312,23.6471,24.0492,24.4512,24.7869,25.1438,25.4422,25.6783,25.8318,25.9514,26.0409,26.0906,26.1633,52R
17,22.4019,22.5898,22.7207,22.8817,23.0696,23.2791,23.5134,23.7636,24.0998,24.5095,24.8918,25.3329,25.7659,26.1932,26.6197,27.0364,27.4489,27.8561,28.2623,28.6099,28.8713,29.0604,29.2063,29.3372,29.4201,29.5226,D2P2L
18,10.8029,11.0895,11.3479,11.5943,11.8385,12.1134,12.4043,12.7042,13.0355,13.3847,13.7558,14.1286,14.5042,14.8753,15.2268,15.5656,15.894,16.1835,16.4962,16.7616,16.9715,17.13,17.2699,17.3638,17.4451,17.5346,M2L0M
19,3.5097,3.5586,3.5905,3.6272,3.6664,3.7182,3.7785,3.8462,3.922,3.9982,4.0792,4.1667,4.2519,4.3369,4.4203,4.5034,4.584,4.6507,4.7189,4.7905,4.8608,4.9164,4.9603,5.005,5.0455,5.0881,99G
20,5.64,5.7248,5.8022,5.8902,5.9794,6.0833,6.187,6.3081,6.4384,6.5741,6.7196,6.8545,7.0069,7.1498,7.2891,7.4161,7.5388,7.6522,7.7653,7.8625,7.95,8.019,8.0899,8.1509,8.2133,8.2794,07H
21,17.6664,17.9961,18.2812,18.5705,18.8867,19.2314,19.5846,19.9549,20.382,20.8282,21.2824,21.7585,22.2319,22.671,23.0912,23.4607,23.8332,24.1612,24.5136,24.8079,25.0263,25.176,25.2831,25.3509,25.3978,25.4468,71E
22,4.2304,4.3251,4.4008,4.4864,4.568,4.6588,4.7531,4.8552,4.9682,5.0675,5.1671,5.2586,5.3547,5.4348,5.5174,5.5974,5.6777,5.7436,5.8186,5.8852,5.9381,5.9723,6.0073,6.0425,6.0663,6.0894,04C
23,4.5811,4.6464,4.6921,4.7457,4.8055,4.8642,4.9213,4.9854,5.0647,5.1544,5.2305,5.3127,5.4053,5.4814,5.5578,5.6206,5.6929,5.7566,5.8201,5.8668,5.8987,5.9074,5.9105,5.9052,5.8875,5.8711,05W
24,9.9988,10.1548,10.2784,10.4154,10.5614,10.7261,10.9019,11.0662,11.2693,11.4793,11.7085,11.9322,12.16,12.385,12.5893,12.7903,12.9684,13.1281,13.3127,13.4869,13.6361,13.7766,13.9153,14.045,14.1689,14.299,06N
