,ccg,month,111/2019/111_offered,111/2019/111_answered,amb_sys/2019/made,amb_sys/2019/answered,gp_appt/2019/available,ae_attendances/2019/attendances,population,People,Places,Lives
0,00Q,Jan,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,4665.28936706823,1044.377666282096,14.9084,96.0,99.5,94.6
1,00Q,Feb,311.88654090427156,253.46297598788178,247.20171390424923,198.60696575155225,4060.932091974994,972.1365136433152,14.9084,96.0,99.5,94.6
2,00Q,Mar,317.91688391064827,277.7243172901326,259.44625572563933,208.0370038841394,4191.127149794746,1056.3172439698426,14.9084,96.0,99.5,94.6
3,00Q,Apr,326.6396914766098,286.83787242033713,261.28459502753054,207.52923260007702,3765.259853505406,1068.458050495023,14.9084,96.0,99.5,94.6
4,00Q,May,331.22562930770033,287.38219738545166,263.6845915456703,207.84425804978105,3888.8814359689836,1085.2941965603284,14.9084,96.0,99.5,94.6
5,00Q,Jun,317.4853119740217,265.25149951807805,264.53018617382315,214.65461086377695,3617.088352874889,1047.7985565184729,14.9084,96.0,99.5,94.6
6,00Q,Jul,322.04986561005416,257.6387260774038,277.67420855555235,231.56857596268767,4273.161439188645,1130.302379866384,14.9084,96.0,99.5,94.6
7,00Q,Aug,324.52848821905815,265.5528222666236,267.70945617280967,221.39035238705353,3632.717125915591,1032.3039360360601,14.9084,96.0,99.5,94.6
8,00Q,Sep,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957502,4170.534732097341,1053.5000402457674,14.9084,96.0,99.5,94.6
9,00Q,Oct,333.8597733353085,254.7149234076454,279.12083858116677,233.44836598164517,4937.082450162325,1076.4401277132354,14.9084,96.0,99.5,94.6
10,00Q,Nov,391.94702318396673,275.36233574508174,291.4171937988898,246.51363200094835,4432.1992970405945,1107.8989026320733,14.9084,96.0,99.5,94.6
11,00Q,Dec,437.9599788957435,313.30372983130206,304.082460398503,255.02346421466328,3880.698129913337,1078.9219500415873,14.9084,96.0,99.5,94.6
12,00R,Jan,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228765,5439.528871014077,1297.4001723642632,13.924,84.8,98.5,88.5
13,00R,Feb,311.88654090427156,253.46297598788175,247.20171390424923,198.60696575155225,5547.112898592359,1205.1134731399025,13.924,84.8,98.5,88.5
14,00R,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,5777.7219189887965,1352.1258259120943,13.924,84.8,98.5,88.5
15,00R,Apr,326.6396914766098,286.837872420337,261.28459502753054,207.52923260007702,5453.892559609308,1356.147658718759,13.924,84.8,98.5,88.5
16,00R,May,331.2256293077003,287.38219738545166,263.6845915456703,207.84425804978105,5633.366848606723,1379.129560471129,13.924,84.8,98.5,88.5
17,00R,Jun,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377698,5273.125538638323,1370.1522550991094,13.924,84.8,98.5,88.5
18,00R,Jul,322.04986561005416,257.63872607740376,277.6742085555523,231.56857596268773,6140.045963803505,1457.3398448721632,13.924,84.8,98.5,88.5
19,00R,Aug,324.5284882190581,265.5528222666236,267.70945617280967,221.39035238705353,5211.792588336685,1437.9488652686011,13.924,84.8,98.5,88.5
20,00R,Sep,310.4207515339272,244.72461628005985,261.81930927768605,216.46600719957502,6150.028727377191,1385.2341281241024,13.924,84.8,98.5,88.5
21,00R,Oct,333.85977333530843,254.71492340764536,279.12083858116677,233.4483659816452,6783.036483769032,1381.0686584314853,13.924,84.8,98.5,88.5
22,00R,Nov,391.9470231839667,275.36233574508174,291.41719379888974,246.51363200094838,6148.089629416834,1373.0249928181559,13.924,84.8,98.5,88.5
23,00R,Dec,437.9599788957435,313.303729831302,304.08246039850303,255.02346421466328,5355.8603849468545,1360.9594943981615,13.924,84.8,98.5,88.5
24,00T,Jan,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,4718.896971984039,353.95570836565406,28.6194,93.1,100.0,95.7
25,00T,Feb,311.8865409042715,253.4629759878818,247.20171390424923,198.60696575155228,4361.202540933772,333.1656149325283,28.6194,93.1,100.0,95.7
26,00T,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.03700388413944,4590.208040699666,364.61281508347486,28.6194,93.1,100.0,95.7
27,00T,Apr,326.6396914766098,286.8378724203371,261.2845950275305,207.52923260007705,4328.602276777291,365.3116417534959,28.6194,93.1,100.0,95.7
28,00T,May,331.2256293077002,287.38219738545166,263.6845915456703,207.84425804978102,4652.438555665039,372.3697911207083,28.6194,93.1,100.0,95.7
29,00T,Jun,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377695,4426.333186579733,371.1119031146705,28.6194,93.1,100.0,95.7
30,00T,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,5071.594792343655,396.19978056842564,28.6194,93.1,100.0,95.7
31,00T,Aug,324.52848821905815,265.5528222666236,267.70945617280967,221.39035238705353,4446.878690678352,346.478262996429,28.6194,93.1,100.0,95.7
32,00T,Sep,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957502,5011.63546405585,365.80082042251064,28.6194,93.1,100.0,95.7
33,00T,Oct,333.8597733353085,254.71492340764533,279.1208385811668,233.4483659816452,5822.7635799492655,373.97709246175674,28.6194,93.1,100.0,95.7
34,00T,Nov,391.9470231839667,275.36233574508174,291.4171937988898,246.51363200094835,5377.541108478864,383.5510178410449,28.6194,93.1,100.0,95.7
35,00T,Dec,437.95997889574346,313.30372983130206,304.08246039850303,255.0234642146633,4561.591088562304,367.86235909907265,28.6194,93.1,100.0,95.7
36,01E,Jan,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,3419.6567402129626,628.7027378117189,20.3228,105.06666666666666,103.1,105.93333333333334
37,01E,Feb,311.8865409042715,253.4629759878818,247.20171390424926,198.60696575155225,3056.2225677564115,588.7476135178223,20.3228,105.06666666666666,103.1,105.93333333333334
38,01E,Mar,317.91688391064827,277.7243172901326,259.44625572563933,208.0370038841394,3252.89822268585,652.6167654063416,20.3228,105.06666666666666,103.1,105.93333333333334
39,01E,Apr,326.63969147660976,286.8378724203371,261.2845950275305,207.52923260007705,2950.872911213022,673.1847973704411,20.3228,105.06666666666666,103.1,105.93333333333334
40,01E,May,331.2256293077003,287.38219738545166,263.68459154567023,207.84425804978102,3141.9391028795244,673.0371799161533,20.3228,105.06666666666666,103.1,105.93333333333334
41,01E,Jun,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377695,2840.0122030428874,654.6834097663708,20.3228,105.06666666666666,103.1,105.93333333333334
42,01E,Jul,322.04986561005416,257.63872607740376,277.67420855555235,231.5685759626877,3378.225441376188,707.3828409471136,20.3228,105.06666666666666,103.1,105.93333333333334
43,01E,Aug,324.52848821905815,265.5528222666236,267.70945617280967,221.3903523870535,2881.492707697758,666.1483653827228,20.3228,105.06666666666666,103.1,105.93333333333334
44,01E,Sep,310.42075153392716,244.72461628005985,261.819309277686,216.46600719957505,3434.270868187454,665.8531304741472,20.3228,105.06666666666666,103.1,105.93333333333334
45,01E,Oct,333.85977333530843,254.71492340764536,279.1208385811668,233.44836598164517,4125.464994981006,681.4513748105576,20.3228,105.06666666666666,103.1,105.93333333333334
46,01E,Nov,391.9470231839667,275.3623357450818,291.4171937988898,246.51363200094835,3725.0772531344105,677.8593500895546,20.3228,105.06666666666666,103.1,105.93333333333334
47,01E,Dec,437.9599788957435,313.303729831302,304.082460398503,255.02346421466328,3132.5899974412973,696.7543842383923,20.3228,105.06666666666666,103.1,105.93333333333334
48,01G,Jan,347.4504013035806,275.14460575903587,276.79752588959974,223.6618516822877,4978.8973885518335,349.5507936754232,25.7788,91.0,98.0,91.5
49,01G,Feb,311.8865409042715,253.4629759878818,247.20171390424926,198.60696575155228,4475.266498052663,324.33627632007693,25.7788,91.0,98.0,91.5
50,01G,Mar,317.91688391064827,277.7243172901326,259.44625572563933,208.0370038841394,4666.082207084892,360.21847409499276,25.7788,91.0,98.0,91.5
51,01G,Apr,326.6396914766098,286.8378724203371,261.28459502753054,207.52923260007705,4528.061818238242,347.76638167796796,25.7788,91.0,98.0,91.5
52,01G,May,331.22562930770033,287.38219738545166,263.6845915456703,207.84425804978105,4702.546278337239,356.3781091439477,25.7788,91.0,98.0,91.5
53,01G,Jun,317.48531197402167,265.251499518078,264.53018617382315,214.65461086377695,4429.337284900771,342.21918785979176,25.7788,91.0,98.0,91.5
54,01G,Jul,322.04986561005416,257.6387260774038,277.67420855555235,231.5685759626877,5205.284962837681,513.0572408335531,25.7788,91.0,98.0,91.5
55,01G,Aug,324.52848821905815,265.5528222666236,267.70945617280967,221.3903523870535,4579.421850512825,480.27836827160303,25.7788,91.0,98.0,91.5
56,01G,Sep,310.4207515339272,244.72461628005985,261.819309277686,216.46600719957502,5124.908839821869,486.2134777413999,25.7788,91.0,98.0,91.5
57,01G,Oct,333.8597733353085,254.71492340764536,279.1208385811668,233.4483659816452,5671.520784520614,510.03149875091157,25.7788,91.0,98.0,91.5
58,01G,Nov,391.9470231839667,275.36233574508174,291.4171937988898,246.51363200094838,5109.314630626716,533.7719366300992,25.7788,91.0,98.0,91.5
59,01G,Dec,437.9599788957435,313.303729831302,304.08246039850303,255.0234642146633,4451.6036433038,518.6432262168914,25.7788,91.0,98.0,91.5
60,01J,Jan,347.4504013035805,275.1446057590359,276.79752588959974,223.66185168228773,5230.755926881835,1368.1459574589749,15.0332,93.5,104.5,87.4
61,01J,Feb,311.8865409042715,253.46297598788172,247.20171390424923,198.60696575155225,4723.212622728361,1260.2257257864449,15.0332,93.5,104.5,87.4
62,01J,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,4984.7005294947185,1355.9637882211239,15.0332,93.5,104.5,87.4
63,01J,Apr,326.63969147660976,286.83787242033713,261.28459502753054,207.52923260007702,4508.288321847644,1202.76229077409,15.0332,93.5,104.5,87.4
64,01J,May,331.2256293077003,287.38219738545166,263.6845915456702,207.84425804978105,4681.571455179203,1388.7596128303162,15.0332,93.5,104.5,87.4
65,01J,Jun,317.48531197402167,265.251499518078,264.53018617382315,214.65461086377695,4499.906872788229,1301.7023779272995,15.0332,93.5,104.5,87.4
66,01J,Jul,322.04986561005416,257.63872607740376,277.67420855555235,231.5685759626877,4994.146289545805,1442.8685455046482,15.0332,93.5,104.5,87.4
67,01J,Aug,324.52848821905815,265.5528222666236,267.7094561728096,221.3903523870535,4158.196525024612,1356.728837696499,15.0332,93.5,104.5,87.4
68,01J,Sep,310.42075153392716,244.72461628005985,261.819309277686,216.46600719957502,4776.029055690073,1354.025081485719,15.0332,93.5,104.5,87.4
69,01J,Oct,333.8597733353085,254.71492340764536,279.1208385811668,233.44836598164522,5801.293137854881,1457.7732104313022,15.0332,93.5,104.5,87.4
70,01J,Nov,391.9470231839667,275.36233574508174,291.4171937988898,246.51363200094835,4986.496554293164,1362.1105091121772,15.0332,93.5,104.5,87.4
71,01J,Dec,437.9599788957436,313.303729831302,304.082460398503,255.02346421466333,4387.688582603837,1460.3692101513793,15.0332,93.5,104.5,87.4
72,01K,Jan,347.4504013035805,275.14460575903587,276.7975258895997,223.6618516822877,4890.5604426402915,289.6388780900891,33.1827,101.44,102.56,105.54
73,01K,Feb,311.8865409042715,253.46297598788178,247.20171390424923,198.60696575155228,4313.964806962665,269.688723340777,33.1827,101.44,102.56,105.54
74,01K,Mar,317.9168839106483,277.72431729013266,259.4462557256394,208.03700388413947,4499.151666380373,301.81389700054547,33.1827,101.44,102.56,105.54
75,01K,Apr,326.63969147660976,286.8378724203371,261.28459502753054,207.52923260007705,4130.947752895335,309.2273986143382,33.1827,101.44,102.56,105.54
76,01K,May,331.22562930770033,287.38219738545166,263.6845915456703,207.84425804978105,4298.806305695438,318.2682542409147,33.1827,101.44,102.56,105.54
77,01K,Jun,317.48531197402167,265.251499518078,264.5301861738232,214.65461086377698,4058.409954584769,315.61626992378564,33.1827,101.44,102.56,105.54
78,01K,Jul,322.0498656100542,257.6387260774038,277.6742085555523,231.56857596268773,4628.044131429932,336.68146353370884,33.1827,101.44,102.56,105.54
79,01K,Aug,324.52848821905815,265.5528222666236,267.7094561728097,221.39035238705353,4124.890379625528,320.64901288924653,33.1827,101.44,102.56,105.54
80,01K,Sep,310.4207515339272,244.72461628005985,261.81930927768605,216.46600719957505,4599.655844762482,305.4302392511761,33.1827,101.44,102.56,105.54
81,01K,Oct,333.85977333530843,254.71492340764533,279.1208385811668,233.4483659816452,5269.402429579269,306.3945971846776,33.1827,101.44,102.56,105.54
82,01K,Nov,391.9470231839667,275.3623357450818,291.4171937988898,246.5136320009484,4691.5109379284995,308.41372160794634,33.1827,101.44,102.56,105.54
83,01K,Dec,437.9599788957436,313.303729831302,304.08246039850303,255.0234642146633,4092.313163184431,298.1071461936491,33.1827,101.44,102.56,105.54
84,01V,Jan,347.4504013035806,275.1446057590359,276.79752588959974,223.66185168228768,4709.747707405787,1029.758687838313,11.6571,97.4,104.2,96.3
85,01V,Feb,311.88654090427156,253.46297598788178,247.20171390424923,198.60696575155228,4205.9345806418405,994.8443437904797,11.6571,97.4,104.2,96.3
86,01V,Mar,317.91688391064827,277.7243172901326,259.44625572563933,208.03700388413938,4546.070635063609,1104.7344536805895,11.6571,97.4,104.2,96.3
87,01V,Apr,326.6396914766098,286.83787242033713,261.28459502753043,207.52923260007705,4053.4952947130932,1047.8592445805562,11.6571,97.4,104.2,96.3
88,01V,May,331.2256293077003,287.38219738545166,263.6845915456703,207.84425804978102,4341.903217781438,1059.1828156230968,11.6571,97.4,104.2,96.3
89,01V,Jun,317.48531197402167,265.251499518078,264.5301861738231,214.65461086377695,4071.2527129388955,1011.5723464669601,11.6571,97.4,104.2,96.3
90,01V,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,4664.196069348294,1088.7785126661006,11.6571,97.4,104.2,96.3
91,01V,Aug,324.5284882190581,265.5528222666236,267.70945617280967,221.3903523870535,4093.2993626202056,1036.7072427962357,11.6571,97.4,104.2,96.3
92,01V,Sep,310.4207515339272,244.72461628005985,261.81930927768593,216.466007199575,4640.519511713891,1061.2416467217404,11.6571,97.4,104.2,96.3
93,01V,Oct,333.85977333530843,254.71492340764536,279.12083858116677,233.4483659816452,5359.99519606077,1080.3716190133052,11.6571,97.4,104.2,96.3
94,01V,Nov,391.9470231839666,275.3623357450817,291.4171937988898,246.51363200094838,4662.394592136981,1102.5898379528355,11.6571,97.4,104.2,96.3
95,01V,Dec,437.95997889574346,313.303729831302,304.082460398503,255.02346421466328,4070.995359051565,1101.8177762908442,11.6571,97.4,104.2,96.3
96,01W,Jan,347.4504013035806,275.1446057590359,276.7975258895997,223.6618516822877,4197.743295607791,285.5874771683652,29.2905,97.5,103.8,103.4
97,01W,Feb,311.88654090427156,253.4629759878818,247.2017139042492,198.60696575155225,3942.506956180331,262.1669141871938,29.2905,97.5,103.8,103.4
98,01W,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,4185.247776582851,296.2052542633277,29.2905,97.5,103.8,103.4
99,01W,Apr,326.6396914766098,286.8378724203371,261.2845950275305,207.52923260007702,4023.6254075553506,289.8550724637681,29.2905,97.5,103.8,103.4
100,01W,May,331.2256293077003,287.38219738545166,263.68459154567023,207.84425804978105,4107.133712295796,297.63916628258306,29.2905,97.5,103.8,103.4
101,01W,Jun,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377695,3795.7699595431964,292.9960226011847,29.2905,97.5,103.8,103.4
102,01W,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,4367.354603028285,308.90561786244683,29.2905,97.5,103.8,103.4
103,01W,Aug,324.5284882190582,265.5528222666236,267.70945617280967,221.3903523870535,3784.4693672009694,281.42230416005185,29.2905,97.5,103.8,103.4
