,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
0,00N,Jan,568.4793624406637,459.8998704888563,216.45067733438376,148.43954472341036,4338.335607094134,4738.295677636176,385.5854656773034,15.0265,94.8,101.7,96.8,2018
1,00N,Feb,472.02255537360793,395.1940043796306,204.8691421377488,147.33586540790444,3704.655109306891,4074.0025954147673,347.5193824243836,15.0265,94.8,101.7,96.8,2018
2,00N,Mar,541.2240321872472,453.86338093121,233.0928128651391,168.12123438191742,3907.696403021329,4321.498685655342,383.389345489635,15.0265,94.8,101.7,96.8,2018
3,00N,Apr,506.0599617265576,438.1729263719483,210.9908360903136,149.84842153452237,3721.0927361661065,4089.0426912454654,396.2998702292616,15.0265,94.8,101.7,96.8,2018
4,00N,May,517.3266028039577,452.9852456707656,223.27326088441623,164.5954935460489,3848.800452533857,4224.337004625162,422.1874688051109,15.0265,94.8,101.7,96.8,2018
5,00N,Jun,469.0236406162412,402.74375847414336,216.10289414171635,160.79826889141447,,4125.511596180082,380.92702891558247,15.0265,94.8,101.7,96.8,2018
6,00N,Jul,491.192413795008,410.80713885306704,236.18382471017333,171.17320933797873,,4201.6437626859215,415.5991082421056,15.0265,94.8,101.7,96.8,2018
7,00N,Aug,463.1804512731581,397.24298665400096,222.5581760545949,158.273291936487,,4044.321698332945,364.5559511529631,15.0265,94.8,101.7,96.8,2018
8,00N,Sep,453.4546890489906,393.63103407330505,220.51228819160727,158.5909102604027,,4020.497121751572,374.6048647389612,15.0265,94.8,101.7,96.8,2018
9,00N,Oct,475.214770345538,418.0420897410054,229.9396968785572,161.97292436868923,,5091.272085981433,382.2580108475028,15.0265,94.8,101.7,96.8,2018
10,00N,Nov,481.2733513562772,425.17210622675225,230.2857056671804,159.73185206083724,,4878.847369646957,384.9865238079393,15.0265,94.8,101.7,96.8,2018
11,00N,Dec,576.8465002996154,491.21450524810086,251.3940161772417,172.92277172558133,3322.9960403287523,3681.030180015306,408.54490400292815,15.0265,94.8,101.7,96.8,2018
12,00P,Jan,568.4793624406637,459.8998704888565,216.45067733438376,148.43954472341034,4262.896650169239,4635.116088776103,644.5891924431451,27.7417,92.8,100.0,93.5,2018
13,00P,Feb,472.02255537360793,395.1940043796306,204.8691421377488,147.33586540790444,3711.1280130633663,4067.1624305648174,573.973476751605,27.7417,92.8,100.0,93.5,2018
14,00P,Mar,541.2240321872472,453.8633809312101,233.0928128651391,168.12123438191742,3668.412534199418,4108.508130359711,659.9811835612093,27.7417,92.8,100.0,93.5,2018
15,00P,Apr,506.0599617265576,438.17292637194834,210.99083609031368,149.84842153452237,3710.839638522513,4051.446018088293,646.6078142291208,27.7417,92.8,100.0,93.5,2018
16,00P,May,517.3266028039577,452.98524567076566,223.27326088441623,164.5954935460489,4037.423806039284,4393.350083087915,680.1674014209655,27.7417,92.8,100.0,93.5,2018
17,00P,Jun,469.02364061624127,402.7437584741434,216.10289414171635,160.79826889141447,,4186.405303207806,644.9136138016055,27.7417,92.8,100.0,93.5,2018
18,00P,Jul,491.192413795008,410.8071388530671,236.1838247101733,171.17320933797876,,4223.461431707501,661.5672435359044,27.7417,92.8,100.0,93.5,2018
19,00P,Aug,463.1804512731581,397.242986654001,222.55817605459487,158.273291936487,,4195.417007609483,620.7622460051114,27.7417,92.8,100.0,93.5,2018
20,00P,Sep,453.4546890489906,393.631034073305,220.5122881916073,158.5909102604027,,4107.31858537869,626.6739240926114,27.7417,92.8,100.0,93.5,2018
21,00P,Oct,475.214770345538,418.0420897410054,229.93969687855716,161.97292436868923,,5312.075323430071,632.9821171737852,27.7417,92.8,100.0,93.5,2018
22,00P,Nov,481.2733513562772,425.1721062267524,230.2857056671804,159.73185206083724,,4886.470547947674,629.9541844948218,27.7417,92.8,100.0,93.5,2018
23,00P,Dec,576.8465002996153,491.2145052481008,251.3940161772417,172.92277172558133,3321.497961552464,3703.5942281835646,661.0625880894105,27.7417,92.8,100.0,93.5,2018
24,00Q,Jan,381.3412215618092,289.7130475198559,291.22911283023024,220.10494063412563,4109.921983053806,4568.019766083442,1179.8552456660982,14.8942,97.2,99.7,94.4,2018
25,00Q,Feb,328.1499919996296,240.8824594174129,245.46191442710028,192.51880380102585,3497.0659719890964,3910.91834405339,1075.4521894428703,14.8942,97.2,99.7,94.4,2018
26,00Q,Mar,387.522704347923,281.97251819034165,284.77215941426743,220.10494063412563,3613.822830363498,4051.7785446683943,1210.8740315021955,14.8942,97.2,99.7,94.4,2018
27,00Q,Apr,327.84521598362653,260.8257515415122,248.47841550856668,190.99883110583096,3580.924118113091,3974.433000765399,1186.1664271998495,14.8942,97.2,99.7,94.4,2018
28,00Q,May,338.62178331871,266.7141804660846,276.0372006479226,213.73785706903556,3802.151172939802,4232.385760900216,1299.2977132037977,14.8942,97.2,99.7,94.4,2018
29,00Q,Jun,308.0992467929651,238.5341211402609,263.60780953374547,206.50528776619308,,4126.7070403244215,1166.292919391441,14.8942,97.2,99.7,94.4,2018
30,00Q,Jul,318.61597303748187,233.4388913342606,279.32721866682766,220.90790821474917,,4414.738623088182,1099.0184098508144,14.8942,97.2,99.7,94.4,2018
31,00Q,Aug,281.4762803181315,224.51637809652925,257.0981064227052,200.5387111452096,,4025.7281357844,993.675390420432,14.8942,97.2,99.7,94.4,2018
32,00Q,Sep,283.5354721185626,228.92195448170204,252.40142986840132,196.432049698809,,4297.578923339286,1005.2235098226156,14.8942,97.2,99.7,94.4,2018
33,00Q,Oct,306.5441076343853,240.00720521760917,280.4095642621207,216.49060967511463,,5339.796699386338,1063.7026493534397,14.8942,97.2,99.7,94.4,2018
34,00Q,Nov,315.29274224760206,249.23840185616416,266.30976613715745,203.06874281651724,,4961.192947590337,1031.0053577902809,14.8942,97.2,99.7,94.4,2018
35,00Q,Dec,372.9266683507496,303.4611810109695,267.4487688123485,214.0289572381667,3377.9592055968096,3836.9298116045175,1028.1183279397349,14.8942,97.2,99.7,94.4,2018
36,00R,Jan,381.3412215618091,289.71304751985593,291.2291128302302,220.1049406341256,4253.329026237393,4650.01256236316,1186.8920713542227,13.9305,85.8,97.6,88.0,2018
37,00R,Feb,328.14999199962966,240.8824594174129,245.46191442710025,192.51880380102585,3711.9988514410825,4060.58648289724,1116.6864075230608,13.9305,85.8,97.6,88.0,2018
38,00R,Mar,387.522704347923,281.9725181903416,284.7721594142674,220.1049406341256,3990.021894404365,4364.452101503895,1298.7329959441513,13.9305,85.8,97.6,88.0,2018
39,00R,Apr,327.8452159836266,260.8257515415122,248.47841550856668,190.99883110583096,3801.299307275403,4149.815153799217,1272.9622052331215,13.9305,85.8,97.6,88.0,2018
40,00R,May,338.62178331871,266.7141804660846,276.0372006479226,213.7378570690356,3935.7524855532815,4304.79882272711,1393.4173217041744,13.9305,85.8,97.6,88.0,2018
41,00R,Jun,308.0992467929651,238.5341211402609,263.6078095337455,206.50528776619308,,4458.203223143462,1304.9782850579663,13.9305,85.8,97.6,88.0,2018
