,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,ccg
0,200.8447,202.9265,204.7996,206.5125,208.0446,209.3943,210.5565,211.5642,212.5387,213.4931,214.448,215.4087,216.3712,217.322,218.285,219.2699,220.2613,221.2491,222.2393,223.2383,224.2422,225.2318,226.1957,227.1281,228.0246,228.8859,A3A8R
1,209.5479,210.8074,211.885,212.8265,213.6216,214.2545,214.7215,215.0593,215.403,215.7479,216.1157,216.5011,216.8998,217.2894,217.695,218.1324,218.5859,219.0375,219.4856,219.9439,220.4162,220.8884,221.3468,221.7894,222.2189,222.6387,W2U3Z
2,149.4905,150.2535,150.9484,151.6046,152.1883,152.687,153.1002,153.4384,153.7346,154.015,154.2961,154.5794,154.8723,155.166,155.4961,155.8611,156.24,156.6288,157.0287,157.4507,157.8919,158.3365,158.7785,159.2128,159.6398,160.0604,36L
3,181.1249,182.6084,183.9507,185.1905,186.3272,187.3571,188.2697,189.0749,189.8431,190.5932,191.3503,192.1176,192.894,193.6699,194.4728,195.3072,196.1617,197.0201,197.8779,198.7388,199.6013,200.4489,201.2717,202.0611,202.8162,203.5407,72Q
4,149.8001,151.1457,152.3376,153.3887,154.3113,155.1054,155.7686,156.3214,156.8646,157.402,157.9421,158.4874,159.0403,159.5963,160.1627,160.7432,161.3287,161.911,162.4828,163.0498,163.6149,164.1693,164.7041,165.2164,165.7083,166.1828,93C
5,94.434,95.0227,95.5696,96.0876,96.5564,96.9761,97.3425,97.6507,97.9332,98.1802,98.4146,98.6372,98.8381,99.0263,99.2179,99.4172,99.6139,99.8049,100.0062,100.2212,100.4614,100.7094,100.962,101.2199,101.4839,101.7511,M1J4Y
6,117.902,118.572,119.1491,119.6701,120.168,120.6525,121.1239,121.5875,122.0655,122.563,123.051,123.5509,124.0594,124.5729,125.0745,125.5603,126.047,126.5378,127.0227,127.5039,127.9786,128.4645,128.955,129.4473,129.9402,130.4306,15E
7,88.9112,89.5136,90.0686,90.5943,91.0795,91.5401,91.9644,92.3592,92.737,93.0981,93.438,93.7616,94.0697,94.3567,94.6255,94.8854,95.1409,95.3899,95.6373,95.8846,96.1333,96.3883,96.6478,96.9145,97.1851,97.4608,06H
8,101.99,102.5758,103.1297,103.6753,104.2047,104.7157,105.213,105.6898,106.1609,106.6172,107.0662,107.5035,107.9305,108.3508,108.7746,109.1966,109.6149,110.0318,110.4511,110.8773,111.3066,111.7352,112.1634,112.5916,113.017,113.4379,15M
9,56.9078,57.1539,57.3919,57.6119,57.8212,58.0072,58.1819,58.3444,58.4994,58.6457,58.7851,58.9111,59.0347,59.1515,59.2726,59.3926,59.5118,59.6249,59.7394,59.8595,59.9881,60.1196,60.2538,60.3915,60.534,60.6797,06K
